Sex,AgeRange,Class_,SiblingSpouse,ParentChild,Embarked_,Survived
Male,Age_20_29,Class3,1,0,Southampton,0
Female,Age_30_39,Class1,1,0,Cherbourg,1
Female,Age_20_29,Class3,0,0,Southampton,1
Female,Age_30_39,Class1,1,0,Southampton,1
Male,Age_30_39,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Queenstown,0
Male,Age_50_59,Class1,0,0,Southampton,0
Male,Age_0_9,Class3,3,1,Southampton,0
Female,Age_20_29,Class3,0,2,Southampton,1
Female,Age_10_19,Class2,1,0,Cherbourg,1
Female,Age_0_9,Class3,1,1,Southampton,1
Female,Age_50_59,Class1,0,0,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_30_39,Class3,1,5,Southampton,0
Female,Age_10_19,Class3,0,0,Southampton,0
Female,Age_50_59,Class2,0,0,Southampton,1
Male,Age_0_9,Class3,4,1,Queenstown,0
Male,Age_20_29,Class2,0,0,Southampton,1
Female,Age_30_39,Class3,1,0,Southampton,0
Female,Age_20_29,Class3,0,0,Cherbourg,1
Male,Age_30_39,Class2,0,0,Southampton,0
Male,Age_30_39,Class2,0,0,Southampton,1
Female,Age_10_19,Class3,0,0,Queenstown,1
Male,Age_20_29,Class1,0,0,Southampton,1
Female,Age_0_9,Class3,3,1,Southampton,0
Female,Age_30_39,Class3,1,5,Southampton,1
Male,Age_20_29,Class3,0,0,Cherbourg,0
Male,Age_10_19,Class1,3,2,Southampton,0
Female,Age_20_29,Class3,0,0,Queenstown,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_40_49,Class1,0,0,Cherbourg,0
Female,Age_20_29,Class1,1,0,Cherbourg,1
Female,Age_20_29,Class3,0,0,Queenstown,1
Male,Age_60_69,Class2,0,0,Southampton,0
Male,Age_20_29,Class1,1,0,Cherbourg,0
Male,Age_40_49,Class1,1,0,Southampton,0
Male,Age_20_29,Class3,0,0,Cherbourg,1
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_10_19,Class3,2,0,Southampton,0
Female,Age_10_19,Class3,1,0,Cherbourg,1
Female,Age_40_49,Class3,1,0,Southampton,0
Female,Age_20_29,Class2,1,0,Southampton,0
Male,Age_20_29,Class3,0,0,Cherbourg,0
Female,Age_0_9,Class2,1,2,Cherbourg,1
Female,Age_10_19,Class3,0,0,Queenstown,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,1,0,Queenstown,0
Female,Age_20_29,Class3,0,0,Queenstown,1
Male,Age_20_29,Class3,2,0,Cherbourg,0
Female,Age_10_19,Class3,1,0,Southampton,0
Male,Age_0_9,Class3,4,1,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_40_49,Class1,1,0,Cherbourg,1
Female,Age_20_29,Class2,1,0,Southampton,1
Male,Age_60_69,Class1,0,1,Cherbourg,0
Male,Age_20_29,Class1,0,0,Southampton,1
Female,Age_20_29,Class2,0,0,Southampton,1
Male,Age_20_29,Class3,0,0,Cherbourg,0
Female,Age_0_9,Class2,1,2,Southampton,1
Male,Age_10_19,Class3,5,2,Southampton,0
Male,Age_20_29,Class3,0,0,Cherbourg,0
Female,Age_30_39,Class1,0,0,Cherbourg,1
Male,Age_40_49,Class1,1,0,Southampton,0
Male,Age_0_9,Class3,3,2,Southampton,0
Male,Age_20_29,Class1,0,0,Cherbourg,0
Male,Age_20_29,Class3,1,1,Cherbourg,1
Female,Age_20_29,Class2,0,0,Southampton,1
Male,Age_10_19,Class3,0,0,Southampton,0
Female,Age_10_19,Class3,4,2,Southampton,1
Male,Age_20_29,Class3,2,0,Southampton,0
Male,Age_30_39,Class2,0,0,Southampton,0
Female,Age_10_19,Class3,5,2,Southampton,0
Male,Age_20_29,Class2,0,0,Southampton,0
Male,Age_20_29,Class3,1,0,Cherbourg,0
Male,Age_30_39,Class3,0,0,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_0_9,Class2,0,2,Southampton,1
Female,Age_30_39,Class3,0,0,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,1
Female,Age_20_29,Class3,0,0,Queenstown,1
Male,Age_20_29,Class1,0,0,Southampton,0
Female,Age_10_19,Class2,0,0,Southampton,1
Female,Age_30_39,Class3,3,0,Southampton,1
Male,Age_10_19,Class3,1,3,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_20_29,Class1,3,2,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_40_49,Class1,1,0,Southampton,0
Male,Age_20_29,Class3,1,2,Southampton,0
Male,Age_50_59,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_70_plus,Class1,0,0,Cherbourg,0
Male,Age_20_29,Class1,0,1,Cherbourg,1
Female,Age_30_39,Class2,0,1,Southampton,1
Male,Age_30_39,Class2,1,0,Southampton,0
Female,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class1,0,1,Southampton,0
Male,Age_30_39,Class3,0,0,Southampton,0
Male,Age_30_39,Class3,2,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_20_29,Class3,0,0,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,1
Male,Age_30_39,Class3,0,0,Southampton,0
Female,Age_20_29,Class3,1,0,Queenstown,1
Male,Age_40_49,Class1,0,0,Southampton,0
Female,Age_10_19,Class3,1,0,Cherbourg,0
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_20_29,Class3,1,0,Southampton,0
Female,Age_10_19,Class3,0,0,Cherbourg,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_70_plus,Class3,0,0,Queenstown,0
Male,Age_20_29,Class2,1,0,Southampton,0
Male,Age_20_29,Class1,0,1,Cherbourg,0
Female,Age_0_9,Class3,4,2,Southampton,0
Male,Age_20_29,Class2,2,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_30_39,Class2,1,0,Cherbourg,0
Female,Age_30_39,Class2,0,0,Southampton,1
Male,Age_50_59,Class1,0,1,Southampton,0
Male,Age_10_19,Class3,1,0,Cherbourg,1
Male,Age_20_29,Class3,0,0,Queenstown,0
Male,Age_20_29,Class3,0,0,Southampton,1
Female,Age_20_29,Class3,1,1,Cherbourg,1
Male,Age_40_49,Class3,0,0,Southampton,0
Male,Age_30_39,Class3,0,0,Cherbourg,0
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_40_49,Class3,1,0,Southampton,0
Female,Age_20_29,Class2,1,0,Southampton,1
Male,Age_20_29,Class2,0,0,Southampton,0
Male,Age_20_29,Class2,0,0,Cherbourg,0
Female,Age_10_19,Class1,0,2,Southampton,1
Male,Age_30_39,Class1,1,0,Southampton,0
Male,Age_10_19,Class3,0,0,Southampton,0
Male,Age_20_29,Class1,0,0,Cherbourg,0
Female,Age_20_29,Class3,0,2,Cherbourg,0
Female,Age_20_29,Class3,0,0,Southampton,1
Female,Age_20_29,Class3,1,0,Southampton,1
Male,Age_10_19,Class3,0,0,Queenstown,0
Male,Age_10_19,Class2,0,0,Southampton,0
Male,Age_10_19,Class2,1,1,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,1
Female,Age_0_9,Class3,2,2,Southampton,0
Male,Age_30_39,Class2,0,2,Southampton,0
Male,Age_40_49,Class2,0,0,Southampton,0
Male,Age_50_59,Class2,0,0,Southampton,0
Female,Age_20_29,Class1,1,0,Southampton,1
Male,Age_50_59,Class3,0,0,Southampton,0
Male,Age_40_49,Class3,0,2,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_50_59,Class1,0,1,Cherbourg,0
Female,Age_10_19,Class3,0,0,Queenstown,1
Male,Age_30_39,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,8,2,Southampton,0
Male,Age_40_49,Class3,0,1,Southampton,0
Female,Age_40_49,Class2,0,0,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_10_19,Class3,0,0,Southampton,0
Male,Age_0_9,Class3,4,1,Southampton,0
Male,Age_0_9,Class3,0,2,Southampton,1
Female,Age_20_29,Class1,0,1,Southampton,1
Female,Age_40_49,Class3,1,4,Southampton,0
Male,Age_20_29,Class1,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_60_69,Class1,0,0,Southampton,0
Male,Age_0_9,Class3,4,1,Queenstown,0
Female,Age_0_9,Class3,1,1,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_50_59,Class1,0,0,Cherbourg,0
Male,Age_10_19,Class3,1,1,Southampton,0
Male,Age_20_29,Class3,3,1,Southampton,0
Female,Age_50_59,Class1,0,0,Cherbourg,0
Male,Age_30_39,Class2,0,0,Southampton,0
Male,Age_30_39,Class3,0,0,Southampton,0
Female,Age_20_29,Class3,8,2,Southampton,0
Male,Age_20_29,Class2,0,0,Cherbourg,0
Male,Age_0_9,Class3,4,2,Southampton,0
Male,Age_0_9,Class2,2,1,Southampton,1
Female,Age_0_9,Class3,0,2,Southampton,1
Male,Age_20_29,Class1,0,0,Southampton,0
Female,Age_20_29,Class3,1,0,Queenstown,1
Male,Age_40_49,Class1,0,0,Southampton,1
Male,Age_40_49,Class3,1,1,Queenstown,0
Male,Age_30_39,Class3,0,0,Southampton,0
Female,Age_30_39,Class2,0,0,Southampton,1
Male,Age_10_19,Class2,0,0,Southampton,0
Female,Age_10_19,Class3,1,0,Southampton,1
Male,Age_0_9,Class2,1,1,Southampton,1
Female,Age_40_49,Class1,0,0,Cherbourg,1
Female,Age_50_59,Class1,0,0,Cherbourg,1
Male,Age_20_29,Class3,0,0,Queenstown,0
Male,Age_40_49,Class3,0,1,Southampton,0
Female,Age_20_29,Class3,0,0,Queenstown,1
Female,Age_20_29,Class2,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,8,2,Southampton,0
Male,Age_30_39,Class3,0,0,Southampton,0
Male,Age_40_49,Class3,0,0,Cherbourg,0
Male,Age_10_19,Class3,0,0,Southampton,1
Female,Age_0_9,Class3,0,1,Southampton,0
Male,Age_30_39,Class3,1,0,Southampton,0
Male,Age_20_29,Class3,0,0,Cherbourg,1
Female,Age_10_19,Class3,0,0,Queenstown,1
Male,Age_40_49,Class1,0,0,Cherbourg,1
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_30_39,Class2,0,0,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_30_39,Class2,0,0,Southampton,0
Male,Age_20_29,Class3,1,0,Queenstown,0
Female,Age_30_39,Class1,1,0,Cherbourg,1
Female,Age_20_29,Class3,0,0,Southampton,1
Male,Age_40_49,Class2,1,0,Southampton,0
Female,Age_30_39,Class1,0,0,Cherbourg,1
Male,Age_30_39,Class2,0,0,Southampton,0
Male,Age_10_19,Class3,0,0,Southampton,1
Male,Age_20_29,Class2,0,0,Southampton,0
Male,Age_50_59,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_30_39,Class1,1,0,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_10_19,Class2,0,0,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_10_19,Class2,0,0,Southampton,0
Female,Age_20_29,Class3,3,1,Southampton,0
Female,Age_30_39,Class1,1,0,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_50_59,Class2,0,0,Southampton,0
Female,Age_0_9,Class3,4,2,Southampton,1
Male,Age_20_29,Class2,0,0,Southampton,0
Female,Age_20_29,Class3,0,0,Southampton,0
Male,Age_40_49,Class2,1,0,Southampton,0
Female,Age_0_9,Class2,0,2,Southampton,1
Male,Age_10_19,Class2,0,0,Southampton,0
Male,Age_30_39,Class2,0,0,Southampton,0
Female,Age_20_29,Class3,1,0,Cherbourg,0
Female,Age_20_29,Class3,1,0,Queenstown,1
Male,Age_20_29,Class2,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_30_39,Class3,0,0,Cherbourg,0
Male,Age_40_49,Class1,2,0,Queenstown,0
Female,Age_20_29,Class3,0,0,Southampton,0
Female,Age_20_29,Class2,0,2,Southampton,1
Male,Age_30_39,Class1,1,1,Southampton,1
Male,Age_50_59,Class2,1,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_20_29,Class3,1,1,Southampton,0
Male,Age_60_69,Class1,0,0,Southampton,0
Male,Age_30_39,Class3,1,0,Southampton,0
Female,Age_40_49,Class3,0,2,Southampton,0
Female,Age_20_29,Class3,0,2,Cherbourg,1
Female,Age_20_29,Class1,0,0,Cherbourg,1
Female,Age_30_39,Class1,0,0,Southampton,1
Female,Age_30_39,Class1,0,0,Cherbourg,1
Female,Age_50_59,Class2,0,1,Southampton,1
Male,Age_20_29,Class3,0,0,Queenstown,0
Male,Age_0_9,Class3,4,2,Southampton,1
Male,Age_50_59,Class1,1,1,Southampton,0
Male,Age_40_49,Class1,0,0,Southampton,0
Female,Age_20_29,Class3,0,0,Queenstown,0
Male,Age_30_39,Class2,0,0,Southampton,0
Male,Age_10_19,Class3,4,1,Southampton,0
Male,Age_20_29,Class3,1,0,Southampton,1
Female,Age_50_59,Class1,0,1,Southampton,1
Female,Age_30_39,Class1,0,0,Southampton,1
Male,Age_20_29,Class1,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,1
Female,Age_40_49,Class2,0,1,Southampton,1
Male,Age_30_39,Class1,0,1,Cherbourg,0
Female,Age_20_29,Class3,0,0,Queenstown,1
Female,Age_60_69,Class1,1,0,Southampton,1
Female,Age_40_49,Class3,0,0,Southampton,0
Male,Age_20_29,Class2,0,0,Southampton,0
Male,Age_0_9,Class3,4,1,Queenstown,0
Female,Age_30_39,Class3,1,1,Southampton,1
Male,Age_60_69,Class3,0,0,Queenstown,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_10_19,Class3,0,0,Southampton,0
Male,Age_10_19,Class3,0,0,Southampton,1
Male,Age_20_29,Class1,0,0,Southampton,0
Male,Age_30_39,Class3,0,0,Cherbourg,0
Male,Age_30_39,Class3,0,0,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_40_49,Class2,0,0,Southampton,1
Female,Age_20_29,Class3,0,0,Queenstown,1
Female,Age_20_29,Class1,0,0,Southampton,1
Female,Age_10_19,Class1,1,0,Cherbourg,1
Male,Age_30_39,Class2,0,0,Cherbourg,0
Female,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class1,0,0,Cherbourg,0
Male,Age_20_29,Class3,0,0,Cherbourg,0
Female,Age_0_9,Class1,1,2,Southampton,0
Male,Age_20_29,Class1,0,0,Southampton,1
Female,Age_50_59,Class1,0,1,Cherbourg,1
Female,Age_20_29,Class3,0,0,Queenstown,1
Male,Age_20_29,Class3,2,0,Queenstown,1
Male,Age_10_19,Class3,0,0,Southampton,0
Female,Age_20_29,Class2,0,0,Queenstown,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_0_9,Class1,1,2,Southampton,1
Female,Age_20_29,Class1,0,0,Cherbourg,1
Female,Age_10_19,Class1,1,0,Cherbourg,1
Male,Age_30_39,Class2,1,0,Cherbourg,0
Female,Age_30_39,Class1,0,0,Cherbourg,1
Female,Age_20_29,Class1,0,0,Cherbourg,1
Female,Age_10_19,Class1,2,2,Cherbourg,1
Female,Age_20_29,Class2,1,1,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_40_49,Class2,1,1,Southampton,0
Female,Age_20_29,Class3,0,0,Southampton,1
Female,Age_20_29,Class2,1,0,Southampton,1
Male,Age_50_59,Class2,0,0,Southampton,0
Female,Age_30_39,Class1,0,2,Southampton,1
Female,Age_40_49,Class1,1,1,Cherbourg,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_30_39,Class2,0,0,Queenstown,1
Female,Age_20_29,Class2,1,1,Southampton,1
Male,Age_20_29,Class3,8,2,Southampton,0
Female,Age_30_39,Class1,0,0,Cherbourg,1
Male,Age_60_69,Class3,0,0,Southampton,0
Female,Age_30_39,Class2,0,0,Southampton,1
Female,Age_30_39,Class3,1,1,Southampton,1
Female,Age_10_19,Class1,0,1,Cherbourg,1
Female,Age_20_29,Class3,2,0,Queenstown,1
Male,Age_40_49,Class1,0,0,Southampton,0
Male,Age_30_39,Class1,0,1,Southampton,0
Male,Age_10_19,Class3,2,0,Southampton,0
Female,Age_20_29,Class1,1,0,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class1,1,0,Southampton,0
Female,Age_40_49,Class1,0,0,Cherbourg,1
Male,Age_40_49,Class3,0,0,Southampton,1
Male,Age_40_49,Class1,0,0,Southampton,0
Male,Age_0_9,Class2,1,1,Southampton,1
Female,Age_20_29,Class1,3,2,Southampton,1
Male,Age_20_29,Class2,0,0,Southampton,0
Male,Age_20_29,Class2,0,0,Southampton,0
Male,Age_30_39,Class2,0,0,Southampton,0
Female,Age_20_29,Class2,0,0,Southampton,1
Female,Age_40_49,Class2,0,0,Southampton,1
Female,Age_20_29,Class3,1,0,Southampton,1
Male,Age_0_9,Class3,1,1,Southampton,1
Male,Age_40_49,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class1,0,0,Southampton,0
Male,Age_10_19,Class3,1,1,Cherbourg,0
Male,Age_20_29,Class3,1,0,Southampton,0
Male,Age_20_29,Class3,0,0,Cherbourg,0
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_20_29,Class1,0,1,Southampton,1
Female,Age_30_39,Class2,0,0,Southampton,0
Female,Age_20_29,Class3,0,0,Queenstown,1
Female,Age_20_29,Class3,0,0,Queenstown,1
Male,Age_40_49,Class3,1,4,Southampton,0
Male,Age_20_29,Class2,1,0,Cherbourg,0
Female,Age_40_49,Class3,0,1,Cherbourg,0
Male,Age_30_39,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,1,0,Queenstown,0
Male,Age_30_39,Class3,0,0,Southampton,0
Female,Age_60_69,Class1,1,0,Cherbourg,1
Female,Age_20_29,Class3,0,0,Cherbourg,1
Female,Age_20_29,Class3,0,0,Queenstown,1
Female,Age_20_29,Class1,0,0,Cherbourg,1
Male,Age_20_29,Class1,1,0,Cherbourg,1
Male,Age_10_19,Class3,1,0,Southampton,0
Male,Age_10_19,Class3,0,0,Southampton,0
Male,Age_20_29,Class1,0,0,Cherbourg,0
Female,Age_0_9,Class3,3,1,Southampton,0
Female,Age_20_29,Class1,1,0,Cherbourg,1
Female,Age_20_29,Class3,0,0,Southampton,1
Male,Age_20_29,Class1,0,2,Cherbourg,0
Male,Age_20_29,Class3,0,0,Cherbourg,0
Male,Age_10_19,Class3,0,0,Southampton,0
Female,Age_40_49,Class1,0,0,Cherbourg,1
Female,Age_0_9,Class3,0,2,Cherbourg,1
Male,Age_30_39,Class3,0,0,Southampton,0
Female,Age_30_39,Class1,1,0,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_10_19,Class2,0,0,Southampton,0
Male,Age_0_9,Class3,5,2,Southampton,0
Female,Age_30_39,Class2,0,0,Southampton,1
Male,Age_20_29,Class3,0,0,Queenstown,0
Female,Age_10_19,Class2,0,0,Cherbourg,1
Male,Age_30_39,Class1,1,2,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,1
Male,Age_20_29,Class3,2,0,Southampton,0
Female,Age_20_29,Class1,1,0,Cherbourg,1
Female,Age_20_29,Class3,0,2,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_30_39,Class3,0,0,Southampton,0
Male,Age_40_49,Class2,0,0,Southampton,0
Male,Age_20_29,Class2,0,0,Southampton,0
Female,Age_20_29,Class2,0,0,Southampton,1
Male,Age_30_39,Class3,0,0,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_20_29,Class3,1,0,Southampton,0
Male,Age_20_29,Class3,1,0,Southampton,0
Female,Age_20_29,Class3,0,0,Southampton,0
Male,Age_30_39,Class2,1,0,Southampton,0
Male,Age_50_59,Class3,0,0,Southampton,0
Male,Age_0_9,Class2,1,1,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_20_29,Class3,3,1,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,0,0,Queenstown,0
Female,Age_30_39,Class1,1,0,Queenstown,1
Male,Age_20_29,Class2,0,0,Southampton,0
Male,Age_40_49,Class3,0,0,Southampton,1
Female,Age_20_29,Class3,0,0,Southampton,0
Female,Age_30_39,Class2,1,1,Southampton,1
Female,Age_10_19,Class2,0,2,Southampton,1
Male,Age_30_39,Class2,0,0,Southampton,0
Female,Age_10_19,Class3,0,2,Southampton,0
Male,Age_20_29,Class3,0,0,Cherbourg,0
Male,Age_20_29,Class3,0,0,Queenstown,0
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_20_29,Class3,1,1,Southampton,0
Male,Age_10_19,Class3,1,1,Southampton,0
Male,Age_20_29,Class3,0,0,Southampton,0
Female,Age_20_29,Class2,1,0,Southampton,1
Female,Age_10_19,Class2,0,0,Southampton,1
Male,Age_20_29,Class3,0,0,Queenstown,0
Male,Age_30_39,Class3,0,0,Southampton,1
Male,Age_20_29,Class1,0,0,Southampton,1
Female,Age_20_29,Class3,1,0,Southampton,1
Female,Age_40_49,Class2,1,0,Southampton,1
Male,Age_10_19,Class3,0,0,Southampton,0
Male,Age_50_59,Class1,1,0,Southampton,0
Female,Age_10_19,Class1,1,2,Southampton,1
Female,Age_20_29,Class3,2,2,Southampton,0
Female,Age_20_29,Class2,2,3,Southampton,1
Male,Age_60_69,Class1,1,4,Southampton,0
Male,Age_30_39,Class2,0,0,Southampton,0
Female,Age_40_49,Class2,1,1,Southampton,1
Male,Age_20_29,Class3,0,0,Southampton,0
Male,Age_20_29,Class3,1,0,Southampton,0
Female,Age_20_29,Class2,0,0,Southampton,1
