ten_xe,luong_hao_xang,so_luong_xi_lanh,the_tich_dong_co,ma_luc,ty_le_truc_sau,khoi_luong_xe,gia_toc_xe,loai_xy_lanh_dong_co,loai_truyen_dong,so_luong_banh_rang,so_luong_bo_che_hoa_khi,KMeans_labels_,HC_labels_
Mazda RX4,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4,0,1
Mazda RX4 Wag,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4,0,1
Datsun 710,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1,0,1
Hornet 4 Drive,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1,0,0
Hornet Sportabout,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2,1,0
Valiant,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1,0,0
Duster 360,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4,1,0
Merc 240D,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2,0,1
Merc 230,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,0,1
Merc 280,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,0,1
Merc 280C,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,0,1
Merc 450SE,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,1,0
Merc 450SL,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,1,0
Merc 450SLC,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3,1,0
Cadillac Fleetwood,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4,1,0
Lincoln Continental,10.4,8,460.0,215,3.0,5.4239999999999995,17.82,0,0,3,4,1,0
Chrysler Imperial,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4,1,0
Fiat 128,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,0,1
Honda Civic,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,0,1
Toyota Corolla,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,0,1
Toyota Corona,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,0,1
Dodge Challenger,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2,1,0
AMC Javelin,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2,1,0
Camaro Z28,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4,1,0
Pontiac Firebird,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2,1,0
Fiat X1-9,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1,0,1
Porsche 914-2,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2,0,1
Lotus Europa,30.4,4,95.1,113,3.77,1.5130000000000001,16.9,1,1,5,2,0,1
Ford Pantera L,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4,1,0
Ferrari Dino,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6,0,1
Maserati Bora,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8,1,0
Volvo 142E,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2,0,1
Chevrolet Chevelle Malibu,10.4,8,460.0,215,3.0,5.4239999999999995,17.82,0,0,3,4,1,0
Buick Skylark,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4,1,0
Plymouth Satellite,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,0,1
AMC Rebel SST,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,0,1
Ford Torino,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,0,1
Ford Galaxie 500,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,0,1
Chevrolet Impala,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2,1,0
Plymouth Fury iii,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2,1,0
AMC Ambassador DPL,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4,1,0
Pontiac Catalina,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2,1,0
Citroen DS-21 Pallas,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1,0,1
Chevrolet Chevelle Concours,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2,0,1
Ford Torino ,30.4,4,95.1,113,3.77,1.5130000000000001,16.9,1,1,5,2,0,1
Plymouth Satellite,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4,1,0
AMC Rebel SST,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6,0,1
Dodge Challenger SE,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8,1,0
Plymouth 'Cuda 340,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2,0,1
Ford Mustang Boss 302,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4,0,1
Chevrolet Monte Carlo,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4,0,1
Buick Estate Wagon ,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1,0,1
Toyota Corolla Mark ii,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1,0,0
Plymouth Duster,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2,1,0
AMC Hornet,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1,0,0
Ford Maverick,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4,1,0
Datsun PL510,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2,0,1
Volkswagen 1131 Deluxe Sedan,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,0,1
Peugeot 504,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,0,1
Audi 100 LS,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,0,1
Saab 99e,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,1,0
BMW 2002,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,1,0
AMC Gremlin,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3,1,0
Ford F250,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4,1,0
Chevy C20,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2,0,1
Toyota Corolla,30.4,4,95.1,113,3.77,1.5130000000000001,16.9,1,1,5,2,0,1
Ford Pinto,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4,1,0
Volkswagen Super Beetle 117,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6,0,1
AMC Gremlin,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8,1,0
Plymouth Satellite Custom,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2,0,1
Chevrolet Chevelle Malibu,10.4,8,460.0,215,3.0,5.4239999999999995,17.82,0,0,3,4,1,0
Ford Torino 500,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4,1,0
AMC Matador,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,0,1
Chevrolet Impala,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,0,1
Pontiac Catalina Brougham,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,0,1
Volkswagen Type 3,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,0,1
Chevrolet Vega,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2,1,0
Ford Pinto Runabout,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2,1,0
Chevrolet Impala,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4,1,0
Pontiac Catalina,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2,1,0
Plymouth Fury III,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1,0,1
Ford Galaxie 500,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2,0,1
AMC Ambassador SST,30.4,4,95.1,113,3.77,1.5130000000000001,16.9,1,1,5,2,0,1
Mercury Marquis,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4,0,1
Buick LeSabre Custom,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4,0,1
Oldsmobile Delta 88 Royale,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1,0,1
Chrysler Newport Royal,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1,0,0
Mazda RX2 Coupe,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2,1,0
AMC Matador,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1,0,0
Chevrolet Chevelle Concours,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4,1,0
Ford Gran Torino,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2,0,1
Plymouth Satellite Custom,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,0,1
Volvo 145e,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,0,1
Volkswagen 411,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,0,1
Peugeot 504,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,1,0
Renault 12,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,1,0
Ford Pinto,15.2,8,275.8,180,3.07,3.78,18.0,0,0,3,3,1,0
Datsun 510 ,10.4,8,472.0,205,2.93,5.25,17.98,0,0,3,4,1,0
Toyota Corolla Mark I,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2,0,1
Dodge Colt,30.4,4,95.1,113,3.77,1.5130000000000001,16.9,1,1,5,2,0,1
Toyota Corolla 1600,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4,1,0
Buick Century 350,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6,0,1
AMC Matador,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8,1,0
Chevrolet Malibu,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2,0,1
Ford Gran Torino,10.4,8,460.0,215,3.0,5.4239999999999995,17.82,0,0,3,4,1,0
Dodge Coronet Custom,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4,1,0
Mercury Marquis Brougham,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,0,1
Chevrolet Caprice Classic,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,0,1
Ford LTD,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,0,1
Plymouth Fury Gran Sedan,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,0,1
Chrysler New Yorker Brougham,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2,1,0
Buick Electra 225 Custom,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2,1,0
AMC Ambassador Brougham,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4,1,0
Plymouth Valiant,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2,1,0
Chevrolet Nova Custom,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1,0,1
AMC Hornet,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2,0,1
Ford Maverick,30.4,4,95.1,113,3.77,1.5130000000000001,16.9,1,1,5,2,0,1
Plymouth Duster,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4,0,1
Volkswagen Super Beetle,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4,0,1
Chevrolet Impala,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1,0,1
Ford Country,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1,0,0
Plymouth Custom Suburb,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2,1,0
Oldsmobile Vista Cruiser,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1,0,0
AMC Gremlin,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4,1,0
Toyota Camry,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2,0,1
Chevrolet Vega,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,0,1
Datsun 610,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,0,1
Mazda RX3,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,0,1
Ford Pinto,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,1,0
Mercury Capri v6,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,1,0
Fiat 124 Sport Coupe,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2,0,1
Chevrolet Monte Carlo S,30.4,4,95.1,113,3.77,1.5130000000000001,16.9,1,1,5,2,0,1
Pontiac Grand Prix,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4,1,0
Fiat 128,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6,0,1
Opel Manta,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8,1,0
Audi 100LS,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2,0,1
Volvo 144ea,10.4,8,460.0,215,3.0,5.4239999999999995,17.82,0,0,3,4,1,0
Dodge Dart Custom,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4,1,0
Saab 99le,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,0,1
Toyota Mark II,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,0,1
Oldsmobile Omega,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,0,1
Plymouth Duster,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,0,1
Ford Maverick,15.5,8,318.0,150,2.76,3.52,16.87,0,0,3,2,1,0
AMC Hornet,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2,1,0
Chevrolet Nova,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4,1,0
Datsun B210,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2,1,0
Ford Pinto,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1,0,1
Toyota Corolla 1200,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2,0,1
Chevrolet Vega,30.4,4,95.1,113,3.77,1.5130000000000001,16.9,1,1,5,2,0,1
Chevrolet Chevelle Malibu Classic,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4,0,1
AMC Matador,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4,0,1
Plymouth Satellite Sebring;18.0;6;225.0;105.0;3613.;16.5;74;US,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1,0,1
Ford Gran Torino,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1,0,0
Buick Century Luxus,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2,1,0
Dodge Coronet Custom,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1,0,0
Ford Gran Torino,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4,0,1
AMC Matador,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1,0,1
Audi Fox,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1,0,0
Volkswagen Dasher,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2,1,0
Opel Manta,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1,0,0
Toyota Corolla,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4,1,0
Datsun 710,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2,0,1
Dodge Colt,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,0,1
Fiat 128,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,0,1
Fiat 124 TC,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,0,1
Honda Civic,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,1,0
Subaru,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,1,0
Fiat x1.9,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2,0,1
Plymouth Valiant Custom,30.4,4,95.1,113,3.77,1.5130000000000001,16.9,1,1,5,2,0,1
Chevrolet Nova,15.8,8,351.0,264,4.22,3.17,14.5,0,1,5,4,1,0
Mercury Monarch,19.7,6,145.0,175,3.62,2.77,15.5,0,1,5,6,0,1
Ford Maverick,15.0,8,301.0,335,3.54,3.57,14.6,0,1,5,8,1,0
Pontiac Catalina,21.4,4,121.0,109,4.11,2.78,18.6,1,1,4,2,0,1
Chevrolet Bel Air,10.4,8,460.0,215,3.0,5.4239999999999995,17.82,0,0,3,4,1,0
Plymouth Grand Fury,14.7,8,440.0,230,3.23,5.345,17.42,0,0,3,4,1,0
Ford LTD,32.4,4,78.7,66,4.08,2.2,19.47,1,1,4,1,0,1
Buick Century,30.4,4,75.7,52,4.93,1.615,18.52,1,1,4,2,0,1
Chevrolete Chevelle Malibu,33.9,4,71.1,65,4.22,1.835,19.9,1,1,4,1,0,1
AMC Matador,21.5,4,120.1,97,3.7,2.465,20.01,1,0,3,1,0,1
Plymouth Fury,15.2,8,304.0,150,3.15,3.435,17.3,0,0,3,2,1,0
Buick Skyhawk,13.3,8,350.0,245,3.73,3.84,15.41,0,0,3,4,1,0
Chevrolet Monza 2,19.2,8,400.0,175,3.08,3.845,17.05,0,0,3,2,1,0
Ford Mustang II,27.3,4,79.0,66,4.08,1.935,18.9,1,1,4,1,0,1
Toyota Corolla,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2,0,1
Ford Pinto,30.4,4,95.1,113,3.77,1.5130000000000001,16.9,1,1,5,2,0,1
AMC Gremlin,21.0,6,160.0,110,3.9,2.62,16.46,0,1,4,4,0,1
Pontiac Astro,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4,0,1
Toyota Corolla,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1,0,1
Volkswagen Dasher,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1,0,0
Datsun 710,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2,1,0
Ford Pinto,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1,0,0
Volkswagen Rabbit,21.0,6,160.0,110,3.9,2.875,17.02,0,1,4,4,0,1
AMC Pacer,22.8,4,108.0,93,3.85,2.32,18.61,1,1,4,1,0,1
Audi 100LS,21.4,6,258.0,110,3.08,3.215,19.44,1,0,3,1,0,0
Peugeot 504,18.7,8,360.0,175,3.15,3.44,17.02,0,0,3,2,1,0
Volvo 244DL,18.1,6,225.0,105,2.76,3.46,20.22,1,0,3,1,0,0
Saab 99LE,14.3,8,360.0,245,3.21,3.57,15.84,0,0,3,4,1,0
Honda Civic CVCC,24.4,4,146.7,62,3.69,3.19,20.0,1,0,4,2,0,1
Fiat 131,22.8,4,140.8,95,3.92,3.15,22.9,1,0,4,2,0,1
Opel 1900,19.2,6,167.6,123,3.92,3.44,18.3,1,0,4,4,0,1
Capri ii,17.8,6,167.6,123,3.92,3.44,18.9,1,0,4,4,0,1
Dodge Colt,16.4,8,275.8,180,3.07,4.07,17.4,0,0,3,3,1,0
Renault 12tl,17.3,8,275.8,180,3.07,3.73,17.6,0,0,3,3,1,0
Chevrolet Chevelle Malibu Classic,26.0,4,120.3,91,4.43,2.14,16.7,0,1,5,2,0,1
Dodge Coronet Brougham,30.4,4,95.1,113,3.77,1.5130000000000001,16.9,1,1,5,2,0,1
